Title,Abstract,Discussion
Machine learning techniques for the diagnosis of Alzheimer's disease: A review,"Alzheimer’s disease is an incurable neurodegenerative disease primarily affecting the elderly population. Efficient automated techniques are needed for early diagnosis of Alzheimer’s. Many novel approaches are proposed by researchers for classification of Alzheimer’s disease. However, to develop more efficient learning techniques, better understanding of the work done on Alzheimer’s is needed. Here, we provide a review on 165 papers from 2005 to 2019, using various feature extraction and machine learning techniques. The machine learning techniques are surveyed under three main categories: support vector machine (SVM), artificial neural network (ANN), and deep learning (DL) and ensemble methods. We present a detailed review on these three approaches for Alzheimer’s with possible future directions.","In the classification of dementia related data, there are various categories or targets. One classification target is MCI vs AD, which is one of the most important targets for early diagnosis of AD. It can be observed in fig. 6(b), 7(b), and 9(b) that most of the work has been done in classification of CN vs AD and CN vs MCI. Moreover, classifications like MCI vs AD are very less. This needs to be addressed in future research for early detection of AD. Other categories like MCIc vs MCInc, and MCIc vs MCIs are also addressed in very few papers. Therefore, researchers can focus on these particular problems for early detection of dementia caused by Alzheimer’s disease. SVM (83%) TWSVM (3%) Ensemble (5%) Others (7%) LSTSVM (2%) (a) CN vs AD CN vs MCI MCI vs AD Within MCI Within AD Others 0 10 20 30 40 50 60 Number of classifications (b) Fig. 6. Plot showing usage of (a) different variants of SVM and (b) different target groups for Alzheimers. In AD diagnosis, an important focus point for research is the development of individual specific diagnosis models. For this, multimodal clinical data can be utilized as per the population. Moreover, novel learning techniques need to be developed for small datasets, since in real world scenarios the sample size from some population may not be large for training of model. Further, the data collection for Alzheimers includes noise from various sources. So, noise insensitive techniques must be applied for AD classification. In the next subsections, we suggest some future directions specific to the different machine learning approaches used for Alzheimers. 6.1 SVM As discussed in previous sections, different variants of SVM have been employed for classification of Alzheimers. The usage of different types of SVM in our survey is shown in fig. 6(a). One can notice that among the different variants of SVM, 83% of the papers used standard SVM. This shows the popularity and robustness of SVM in the classification of Manuscript submitted to ACM 18 M. Tanveer, et al. MRI data [112]. In 3% of the papers, TWSVM is used [5, 192], whereas LSTSVM [183] is used in only 1 paper. CSVM is used in [45, 158]. Some papers used ensemble of SVMs to classify Alzheimer’s data [7, 65]. However, it can be observed that only 7 % of the papers are in the others category. This category involves the algorithms based on SVM which are modified especially for Alzheimers. One can observe that very few variants of SVM have been applied for AD. This shows that research is needed in application of other variants of SVM for Alzheimers. Moreover, other than the existing models, some novel variants of SVM also need to be developed for Alzheimer’s disease as was done in [33]. In this paper, the spatial regularization on MRI image is included with SVM using graph Laplacian approach. Also, one can develop and use novel kernel functions for diagnosis of AD using SVM. Such kind of novel models can increase the classification performance of SVM. Plots for application of ANN on different (a) modalities (b) classification tasks (c) feature extraction methods, and (d) cross validation methods 6.2 ANN, TL and MKL techniques Techniques like transfer learning and multikernel learning can be used on multimodal data. We can see in fig. 7(a) that T1-weighted structural MRI is the most used modality. For feature extraction from MR images, atlas based methods have been mostly used by the researchers as shown in fig. 7(c). Atlas based methods employ some type of atlas to parcellate the brain regions from which different types of features are extracted. In future, other feature selection techniques can be utilized with ANN. For validating the model performance, 10-fold cross validation was the mostly used technique in fig. 7(d). However, one can also use methods like LOOCV, since it is the mostly used cross-validation method for SVM based algorithms in fig. 3(b). The usage of different architecture of ANNs are shown in fig. 8(a). Mostly ANNs with backpropagation were used. Fig. 8(b) shows different learning paradigms used by researchers. Most of the effort has been given on selection of better and more informative features. More informative features alone are insufficient for improving performance on classification of AD. Thus, more effort needs to be given on producing novel classifiers specifically designed for handling neuroimaging data. Also, more efforts need to be given on approaches like TL and MTL as they can aid in dealing with the problem of small sample size and high dimensionality. Pie charts showing usage of (a) variants of ANN and (b) different learning paradigms. It can be seen from fig. 7(a) that less efforts have been given on utilizing data from multiple modalities as compared to data from single modality. Hence, more efforts should be given on developing models that can leverage multimodal data. Ensemble (13.33%) LDA (6.67%) DL (35%) LR (10%) RF (11.67%) Others (23.33%) (a) CN vs AD CN vs MCI MCI vs AD Within MCI Others Group combinations 0 10 20 30 40 50 Number of classifications (b) Fig. 9. (a) Plot showing usage of different types of machine learning algorithms, and (b) targets used for classification of AD data. 6.3 DL and ensemble methods In most of the papers using DL and ensemble techniques, T1-weighted structural MRI is used for classification of AD as shown in Table 3. Most of the researchers used ROI based features to classify or diagnose AD. DL techniques based on CNN architectures perform better for classification of AD. Moreover, 10-fold cross-validation is mostly used for validation of learning algorithms as shown in fig. 5(b). The usage of DL, ensemble, and other classification techniques in our survey is shown in fig. 9(a). Among the different techniques, 35% of the papers used DL, 10% of the papers used LR, 11.67% of the papers used RF, 6.67% of papers used LDA, and 13.33% of papers used ensemble methods, and about 23.33% of the papers used other methods. The DL, ensemble and other techniques reviewed in our paper have issues related to model interpretability for routine use by clinicians. It can be observed in fig. 5(a) that most of the machine learning algorithms use MRI scans. Hence, more focus should be given on leveraging data from various other modalities. In future, DL models can be trained on large sized Alzheimers datasets for better classification performance"
A new machine learning method for identifying Alzheimer's disease,"Most of the studies on Alzheimer's disease (AD) have been carried out using medical images. However, the acquisition of medical images data is difficult. The identification based on the patient's speech data can effectively reduce the medical cost, and the speech data can be collected in a non-invasive manner so that the patient's data can be collected in real-time and accurately. This paper proposes a new method that uses the spectrogram features extracted from speech data to identify AD, which can help families to understand the disease development of patients in an earlier stage, so that they can take measures in advance to delay the disease development. We use the speech data collected from the elderly that express the speech features displayed in the speech and used the machine learning methods for identifying AD. During the simulation and experiment, we collect a new speech dataset, which includes Alzheimer's disease patients and healthy control subjects. Then, we compare with the speech data made available by the Dem@Care project. Among the tested models, LogisticgressionCV model exhibited the best performance. It is shown that this method using extracted spectrogram features from speech data to identify AD is feasible. The credibility of the new dataset and feasibility of the used methods in this paper are demonstrated.","From the experimental results, LogisticRegressionCV obtained the best performance compared with other classification methods. Among them, F1-Score reached 86.9% on the VBSD dataset and 89.4% on the Dem@Care dataset. LinearSVC and MLP models perform relatively well that their accuracy reached above 70%. However, DecisionTree and Bagging obtained poor performance because DecisionTree is so easily producing a complex model that makes the generalization ability perform not well. Moreover, it also has the disadvantage of instability. A small change of data may lead to different tree generation. In this simulation experiment, the training sets and testing sets are in constant change, and thus DecisionTree classifier performs poorly in this simulation experiment. The base classifier of Bagging chooses DecisionTree classifier, and the performance of Bagging mainly depends on the stability of the base classifier. As the result, the classification performance of Bagging is also poor. The differences in language and pronunciation between countries are not considered in combining the two datasets in simulation experiment.

Through the above simulation experiments, the best performing method is the LogisticRegressionCV method. In order to further optimize this method, different parameter values for PCA dimension reduction experiments are carried out to achieve higher identification performance. Fig. 9 shows the performance metrics with different dimensions of the respective 450-dim reduced dimension 20-dim. As it can be seen that when n_component = 300 (the number of feature dimensions), accuracy achieves the best identification accuracy, the results are an accuracy of 86.1%, precision of 87.5%, recall of 91.3%, and f1-score of 89.4%, respectively. The identification results are different when the dimensions are different. Therefore, when conducting experiments, the parameter adjustment is needed, which can optimize the method to get better results."
"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia","Alzheimer’s disease (AD) is one of the most common form of dementia which mostly affects elderly people. AD identification in early stages is a difficult task in medical practice and there is still no biomarker known to be precise in detection of AD in early stages. Also, AD is not a curable disease at this time and there is a high failure rate in clinical trials for AD drugs. Researchers are making efforts to find ways in early detection of AD to help in slowing down its progression. This paper reviews the state-of-the-art research on machine learning techniques used for detection and classification of AD with a focus on neuroimaging and primarily journal articles published since 2016. These techniques include Support Vector Machine, Random forest, Convolutional Neural Network, K-means, among others. This review suggests that there is no single best approach; however, deep learning techniques such as Convolutional Neural Networks appear to be promising for diagnosis of AD, especially considering that they can leverage transfer learning which overcomes the limitations of availability of a large number of medical images. Research is still on-going to provide an accurate and efficient approach for diagnosis and prediction of AD. In recent years, a number of new and powerful supervised machine learning and classification algorithms have been developed such as the Enhanced Probabilistic Neural Network, Neural Dynamic Classification algorithm, Dynamic Ensemble Learning Algorithm, and Finite Element Machine for fast learning. Applications of these algorithms for diagnosis of AD have yet to be explored.","This paper presented a state-of the-art review of studies that used machine learning (ML) techniques for diagnosis of AD since 2016. Different types of data and modalities are used in various studies such as neuroimaging, protein sequence, speech data, EEG and MEG signals, as well as other information such as medical history and genetics. With the advances made in computer vision, imaging technologies have received significant attention in recent decades and are extensively used in AD studies. Among the neuroimaging techniques, Magnetic Resonance Imaging (MRI) is more frequently used than other imaging technologies. MRI is a non-invasive and radiation free imaging modality which provides detailed information about the soft tissue and has been reported as a promising tool in detection of diseases including AD.

Several supervised and unsupervised machine learning techniques are discussed in this paper such as support vector machine, random forest, k-means, convolutional neural network, fuzzy c-means, density and spectral based clustering, and Bayesian techniques. In terms of classification, deep learning techniques, specifically convolutional neural networks, are most frequently used in AD studies, and they have been reported to be more accurate than other ML techniques. In order to have a network with high accuracy, a large dataset of medical images is required for training purpose. However, such a large dataset is always not feasible in medical applications. Thus, most of the AD studies leveraged transfer learning and used one of the pioneering CNN architectures pretrained on some of the available large datasets such as ImageNet, and then fine-tuned the network to adapt to the AD data. For medical imaging dataset, ADNI is the most frequently-used dataset. ADNI is a public dataset with the primary goal of testing whether MRI, positron emission tomography (PET), and other imaging modalities, and clinical and neuropsychological assessment can be combined to measure the progression of mild cognitive impairment (MCI) and early AD. In this review, although some techniques have been reported to be more accurate than other techniques, due to lack of consistency in the implementation which means that techniques are not implemented with the same criteria such as number of data samples, modalities, preprocessing techniques, database, etc., one could not judge on the accuracy rate reliably. Comparison in accuracy would be more valid if the techniques were developed under the same conditions. Also, there is still no technique to be considered the best and most accurate for AD diagnosis; deep learning techniques such as convolutional neural networks appear to be promising in diagnosis of AD, especially considering that they can leverage transfer learning which overcomes the limitations of availability of a large number of medical images. Research is still on-going to provide an accurate and efficient approach for diagnosis and prediction of AD. In recent years, a number of new and powerful supervised machine learning and classification algorithms have been developed such as the Enhanced Probabilistic Neural Network[6], Neural Dynamic Classification algorithm[141], Dynamic Ensemble Learning Algorithm[7], and Finite Element Machine for fast learning[136]. Applications of these algorithms for diagnosis of AD have yet to be explored."
Hippocampal shape analysis of Alzheimer disease based on machine learning methods,"BACKGROUND AND PURPOSE: Alzheimer disease (AD) is a neurodegenerative disease characterized by progressive dementia. The hippocampus is particularly vulnerable to damage at the very earliest stages of AD. This article seeks to evaluate critical AD-associated regional changes in the hippocampus using machine learning methods.

MATERIALS AND METHODS: High-resolution MR images were acquired from 19 patients with AD and 20 age- and sex-matched healthy control subjects. Regional changes of bilateral hippocampi were characterized using computational anatomic mapping methods. A feature selection method for support vector machine and leave-1-out cross-validation was introduced to determine regional shape differences that minimized the error rate in the datasets.

RESULTS: Patients with AD showed significant deformations in the CA1 region of bilateral hippocampi, as well as the subiculum of the left hippocampus. There were also some changes in the CA2–4 subregions of the left hippocampus among patients with AD. Moreover, the left hippocampal surface showed greater variations than the right compared with those in healthy control subjects. The accuracies of leave-1-out cross-validation and 3-fold cross-validation experiments for assessing the reliability of these subregions were more than 80% in bilateral hippocampi.

CONCLUSION: Subtle and spatially complex deformation patterns of hippocampus between patients with AD and healthy control subjects can be detected by machine learning methods.","The main purpose of this study was to present an integrated method for identifying specific subregions of the hippocampus that were prone to structural changes, significant for discriminating between patients with AD and healthy control subjects, and to build effective classifiers based on the regional changes. This was accomplished by characterizing surface deformations using surface-based measures based on the parameterization of each hippocampus. A feature selection method based on SVM RFE and LOOCV was used to identify critical changes in the 2 subject groups, that is, patients with AD versus healthy control subjects. These changes were used to construct effective classifiers to assess the reliability of the selected features. Using this method, high classification accuracies (Table 2) were obtained for the left and right hippocampi using 2 cross-validation experiments. Subregions of the hippocampus where shape changes are prominent between patients with AD and healthy control subjects are highlighted in Fig 4. Our approach was generally applicable to shape-based analysis and classification of other brain structures.

Pathologic Implications of the Selected Features
As shown in Fig 4, the most significant deformations in patients with AD were located in the CA1 region of bilateral hippocampi, as well as in the subiculum of the left hippocampus. These results were consistent with previous neuropathologic findings.32–36 Given that AD is a progressive disease, AD-mediated neuronal impairments appear in a hierarchical formation.33 Hippocampal degeneration within the CA1 subfield and subiculum appeared to be more severe compared with other components of the hippocampal formation in the early stages of AD.33–36 The main pyramidal cell layers of the hippocampus are the CA1–4 regions (primarily CA1 and CA3) and the dentate gyrus. The perforant path is the major input to the hippocampus. The axons of the perforant path arise principally in layers II and III of the entorhinal cortex, with minor contributions from the deeper layers IV and V. Axons from layers II/IV project to the granule cells of the dentate gyrus and pyramidal cells of the CA3 region, whereas those from layers III/V project to the pyramidal cells of the CA1 and the subiculum. Pathologic findings37–40 in patients with AD suggested that severe degeneration of the perforant pathway was a characteristic feature of AD. Our results showing the significant changes in the hippocampal surface were a probable consequence of this phenomenon.

Reliability of These Selected Shape Features
We assessed the reliability of these selected shape features using the permutation test. For each cross-validation experiment, we randomly selected some features from all of the features to construct a classifier to evaluate the classification accuracy between patients with AD and healthy control subjects. This process was repeated 10,000 times. We observed that in each experiment the percentage that the classification accuracies were greater than our experimental results was less than 5%. In other words, all of the P values in our cross-validation experiments were less than .05. This result indicated that our findings of the between-group differences in the shape features of the hippocampus were statistically significant.

Comparison with Related Work
Methodology.
Recently, increasing attention has focused on characterizing AD-related changes in the hippocampus using computational approaches. One popular method was to analyze the gray matter concentration of the hippocampus using VBM. Busatto et al13 found gray matter abnormalities over the entire extension of the temporal lobe in AD. However, Frisoni et al14 found that more regional changes corresponded with all parts of the left and right hippocampi. A second method6–9 was to investigate the hippocampal volume changes in AD using the region of interest method. Good et al15 compared the VBM results with region of interest measurements of temporal lobe structures and found that region of interest analyses appeared more sensitive to volume loss in the amygdalae, whereas VBM analyses appeared more sensitive to right middle temporal gyrus and regional hippocampal volume loss in patients with AD. Similarly, Testa et al41 compared the accuracy of VBM and region of interest–based hippocampal volumetry and suggested that VBM was more accurate, but the combination of both methods provided the highest accuracy for detection of hippocampal atrophy in patients with AD. A third method used the surface modeling methods to map hippocampal shape abnormality in AD. Such a surface-based method17,19,20,42,43 allows us to detect more subtle changes in the hippocampus in comparison with the VBM and region of interest–based methods. Using a 3D parametric mesh model, Thompson et al17 found that the hippocampal atrophic rates were faster in patients with AD than in the control subjects. Csernansky et al19,20 used the high-dimensional brain mapping methods to detect an AD-specific pattern in the hippocampus that was not found through the volume methods. In this study, we used surface modeling to characterize the hippocampal shape changes in AD. Compared with previous surface modeling approaches, our method provided a more specific hippocampal shape modeling, because it was particularly designed to banana-like objects, which might reduce the complexity of shape modeling. Our results also suggested that patients with AD showed significant deformations in the CA1 of bilateral hippocampi, as well as the subiculum of the left hippocampus (Fig 4), which were consistent with previous structural neuroimaging studies.18,20 In addition, in the present study, we used machine learning methods to find the abnormal subregions of the hippocampus in AD. The classification methods over the univariate statistical methods applied in previous AD-related hippocampal shape studies17,18 are that the discriminative analysis based on the classifier function can detect subtle differences between populations. The result of the analysis is a classifier function that can be used for assigning new examples and making a map over the original features indicating the extent to which each feature participates in estimating the label for any given example.22 In this study, we did not provide direct comparisons on the sensitivity of these surface-based methods applied in the present study and previous studies, because they involved different parameter selections and statistical analysis approaches.

Results.
In our study, significant deformations in AD were located in the CA1 and subiculum of the left hippocampus and the CA1 of the right hippocampus. There were also some changes in the CA2–4 subregions of the left hippocampus in AD. These results were consistent with those found in the literature.18,20 Wang et al18 found that inward deformation of the hippocampal surface in the proximity of the CA1 subfield and subiculum can be used to distinguish subjects with very mild AD from nondemented subjects. Similarly, Csernansky et al20 suggested that inward deformation of the lateral zone of the left hippocampal surface was an early predictor of the onset of AD in nondemented elderly subjects. In addition, as shown in Table 2, the selected shape features of the left hippocampus in different experiments obtain higher classification accuracies than those of the right hippocampus. Our results clearly showed that in discriminating patients with AD from healthy control subjects, an assessment of the left hippocampus proved more effective than of the right. Previous studies have alluded to this differential atrophy between the left and right hippocampi.44,45 In these studies, it was reported that bilateral hippocampal atrophy occurred to a greater extent on the left side than on the right, as evidenced in patients with AD. Moreover, several VBM studies,16,46 sulcal-warping studies,47,48 and single-photon emission CT and positron-emission tomography studies49,50 supported a laterality trend of the atrophic process and left more than right hemispheric involvement in AD.

Limitations of the Present Method
Some limitations of the study need to be emphasized. First, the subjects with AD were not categorized clinically as early stage or advanced stage for this experiment. At this point, it should be emphasized that there is a need to detect AD as early as possible. In the near future, the methods presented in this article could potentially be applied to discriminate patients with MCI or mild AD from healthy control subjects. Second, because of the limited spatial resolution of MR imaging in our study, the segmented gray matter in the images may have contained some subcortical white matter, leading to potential contamination with respect to measurements of the hippocampus. A higher magnetic field scanner should be adopted to acquire higher spatial resolution images. Finally, a shape analysis approach for evaluating the hippocampus may not be regarded as the only tool necessary for discriminating between patients with AD and healthy control subjects. A combination of various quantitative MR techniques that measure the anatomic, biochemical, microstructural, functional, and blood flow changes may provide useful markers for early diagnosis of AD. In addition, Kantarci and Jack51 suggested that these approaches of directly imaging the pathologic substrate would need to undergo a validation process with longitudinal studies to prove their usefulness as surrogate markers in AD. In the future, our method will be validated by tracking the progression of patients with MCI. The combination of the valuable biomarkers and the results of our hippocampal shape analysis are expected to form a more effective computer-aided diagnostic tool for AD."
Machine learning for modeling the progression of Alzheimer disease dementia using clinical data: a systematic literature review,"Objective
Alzheimer disease (AD) is the most common cause of dementia, a syndrome characterized by cognitive impairment severe enough to interfere with activities of daily life. We aimed to conduct a systematic literature review (SLR) of studies that applied machine learning (ML) methods to clinical data derived from electronic health records in order to model risk for progression of AD dementia.

Materials and Methods
We searched for articles published between January 1, 2010, and May 31, 2020, in PubMed, Scopus, ScienceDirect, IEEE Explore Digital Library, Association for Computing Machinery Digital Library, and arXiv. We used predefined criteria to select relevant articles and summarized them according to key components of ML analysis such as data characteristics, computational algorithms, and research focus.

Results
There has been a considerable rise over the past 5 years in the number of research papers using ML-based analysis for AD dementia modeling. We reviewed 64 relevant articles in our SLR. The results suggest that majority of existing research has focused on predicting progression of AD dementia using publicly available datasets containing both neuroimaging and clinical data (neurobehavioral status exam scores, patient demographics, neuroimaging data, and laboratory test values).

Discussion
Identifying individuals at risk for progression of AD dementia could potentially help to personalize disease management to plan future care. Clinical data consisting of both structured data tables and clinical notes can be effectively used in ML-based approaches to model risk for AD dementia progression. Data sharing and reproducibility of results can enhance the impact, adaptation, and generalizability of this research.","AD is the most common cause of dementia, which is a syndrome of impaired memory and/or thinking that interferes with activities of daily life. We performed an SLR of studies applying ML to clinical data to identify factors that predict risk for progression of AD dementia. There has been an exponential increase in such paper applying ML for AD over the past 3 years. We reviewed the selected articles according to key components of ML analysis such as data characteristics, computational algorithms, and research focus; in the process we identified gaps in the existing literature and potential opportunities for future research. Our review suggests that most of the articles focus on predicting the progression of the disease based on standardized publicly available multimodal datasets which include both neuroimaging and some nonimaging clinical data. Most commonly used nonimaging clinical features for predictive modeling include neurobehavioral status exam scores, patient demographics, neuroimaging data, and laboratory test values.

Clinical databases which are collected for specific research purposes (eg, data in clinical registries) or cleaned and curated to enhance data reusability (eg, MIMIC database87) are often relatively well-structured, standardized, and clean, even though they may still have a few missing values and outliers. Hence, many researchers focus on utilizing these relatively clean datasets for their experiments and methodological innovations. However, as we noted previously, clinical data from local sources like institutional EHRs, which are primarily used to track patient care but can also be used secondarily for clinical research and automated disease surveillance, have great potential for use in modeling AD dementia progression.88 Data from such raw EHR data sources often have data quality issues and require significant effort for data preprocessing and feature engineering. However, they are a rich source of historical clinical data containing patient-level elements which can be effectively leveraged using ML-based computational techniques for longitudinal analyses of their preclinical phase to identify prognostic clinical phenotypes, thus representing an opportunity to employ precision medicine paradigms in disease states where the current evidence-base precludes such an approach.

The basic criteria for selecting articles for our review was inclusion of clinical data excluding imaging with/or without other features and/or data types. We observed that a significant portion of articles employed neuroimaging features from structural and functional MRI as well as fluorodeoxyglucose (FDG) and amyloid positron emission tomography (PET) for predictive modeling; this indicates that most researchers use clinical features as part of multidimensional datasets containing both clinical and imaging features. As evident from the relationship between the modality and accessibility of the datasets, multimodal features are mostly derived from the category of publicly accessible, standardized, and well-curated datasets.

Identifying individuals with early AD brain pathological changes could enable therapeutic interventions to delay the disease progression over time and can be helpful for tailoring disease management and planning future care. Multiple failed drug trials for AD dementia show that in the later stages of the disease course, when the patient already has significant neuronal degeneration, treatment is unlikely to be helpful.89 Hence, many drug trials are now enrolling patients with either preclinical AD (cognitively normal individuals with AD-related brain pathology) or very early AD dementia.90,91 Most studies reported that their proposed methodology can identify individuals at risk for progression to AD dementia approximately 24–48 months before the diagnosis of AD dementia.

Nearly all of the reviewed articles used supervised learning in the proposed models. Unsupervised or semi-supervised learning can also be an effective tool for handling multidimensional longitudinal patient data where clinical outcomes are not known a priori. Unsupervised clustering algorithms can be helpful for identifying novel subphenotypes with distinct disease trajectories and the associations between them.89,92

EHR-derived data for patients who are screened for risk of AD dementia not only include structured data in the form of labs, medications, and procedures, but also clinical notes, which are textual descriptions of physician–patient encounters and records of their follow-up visits.93 We observed from the summary statistics that information from clinical notes are not often included for developing the predictive modeling pipelines. However, these notes often consist of additional clinical information that are usually unavailable in the structured data sources, offering a rich source of information for clinical decision-making. Most of the notes are free-text narratives lacking a standardized structure and they cannot be processed by conventional ML algorithms like SVM, decision trees, regression, etc. NLP is a field of computational techniques that offers a viable solution for effectively processing clinical notes. In recent years, deep learning-based NLP models like recurrent neural networks and long short-term memory networks have been shown to outperform the conventional word-embedding-based NLP techniques for extracting relevant information from clinical notes.94

Data sharing and reproducibility of results can also enhance the impact, adaptation, and generalizability of research. Ideally, measures such as use of standardized publicly available EHR-derived datasets and specification of implementation details can help ensure reproducibility of the published methods and results. However, siloed data between different academic and corporate institutions and inconsistent data formats often make data sharing difficult and therefore remains an open area of research and innovation.95 A solution to this problem is developing a culture of data sharing among different institutions, potentially utilizing common data models like the OHDSI (Observational Health Data Sciences and Informatics) data sharing initiative. OHDSI produces tools like the OMOP (Observational Medical Outcomes Partnership) Common Data Model, which transforms data within disparate observational databases into a common representation (terminologies, vocabularies, and coding schemes) so that they can be analyzed using standardized analytics tools.96

Despite these limitations, there have been significant advancements in the application of ML on EHR-derived data for predicting AD dementia progression over the last 2–3 years. Advancements in technology and computational tools provide an opportunity for researchers to develop deep learning-based computational hypotheses that can inform clinical decision-making. Deep learning and other analytic approaches in ML can define clinical patterns and generate insights beyond human capabilities. This not only reduces the burden on clinicians in making their diagnoses but leads to improved quality, safety, and outcomes of care planning and delivery.18

Limitations of SLR
Many relevant research works might be published in only conferences and workshops proceedings and not indexed in bibliographic databases. Similarly, some studies from arXiv/BioarXiv were not included since they were not yet peer-reviewed. Thus, identification of only peer-reviewed studies from bibliographic databases might lead to selection bias during the initial inclusion stage. This can potentially impact the results presented as it may not truly represent the growing interest in the domain of using ML models for AD prediction using clinical data."
Classification of Alzheimer's Disease using Machine Learning Techniques,"Alzheimer's disease (AD) is a commonly known and widespread neurodegenerative disease which causes
cognitive impairment. Although in medicine and healthcare areas, it is one of the frequently studied diseases
of the nervous system despite that it has no cure or any way to slow or stop its progression. However, there
are different options (drug or non-drug options) that may help to treat symptoms of the AD at its different
stages to improve the patient’s quality of life. As the AD progresses with time, the patients at its different
stages need to be treated differently. For that purpose, the early detection and classification of the stages of
the AD can be very helpful for the treatment of symptoms of the disease. On the other hand, the use of
computing resources in healthcare departments is continuously increasing and it is becoming the norm to
record the patient’ data electronically that was traditionally recorded on paper-based forms. This yield
increased access to a large number of electronic health records (EHRs). Machine learning, and data mining
techniques can be applied to these EHRs to enhance the quality and productivity of medicine and healthcare
centers. In this paper, six different machine learning and data mining algorithms including k-nearest
neighbours (k-NN), decision tree (DT), rule induction, Naive Bayes, generalized linear model (GLM) and
deep learning algorithm are applied on the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset in
order to classify the five different stages of the AD and to identify the most distinguishing attribute for each
stage of the AD among ADNI dataset. The results of the study revealed that the GLM can efficiently classify
the stages of the AD with an accuracy of 88.24% on the test dataset. The results also revealed these techniques
can be successfully used in medicine and healthcare for the early detection and diagnosis of the disease.","The results analysis indicates that the generalized
linear model outperforms other classifiers and gives
an accuracy of 88.24% during the test period.
Reasonable accuracies are obtained for deep learning
and Naive Bayes algorithms i.e. 78.32% and 74.65%
respectively. It can also be observed that the results
obtained on test data are quite close to the results
obtained from cross-validation period. This shows
that the developed models are not overfitted during
their training period. From the decision tree and rule
induction models, it has been observed that the most
distinguishing attribute for the five stages of the AD
is the CDRSB cognitive test, as it appears at the top
of the decision tree. The most distinguishing clinical
assessment attribute is the volume of the whole brain,
whereas the most distinguishing demographic
attribute is the age of the patient (see Appendices A
and B). The detailed results obtained by applying the
generalized linear algorithm during the test period is
illustrated in Table 7.
It can be observed that generalized linear model
correctly classified most of the unseen instances of
AD, CN, EMCI and LMCI classes, with the class
recall of 100.00%, 94.44%, 90.62%, and 86.01%
respectively, and class precision of 100.00%, 89.16%,
98.12%, and 79.45% respectively. The results of the
SMC class show misclassification of testing
instances. It can be observed from the above table that
25 out of 93 instances of SMC class have been
misclassified with the CN class. This is because the
patients belonging to SMC class have very similar
values of clinical assessment attributes as those who
belong to CN class. As well as, 28 out of 243
instances of the LMCI class have been misclassified
as EMCI. This is because the attribute values of
EMCI and LMCI classes overlap with each other."
Diagnosis of alzheimer's disease using machine learning,"Machine learning is being widely used in various medical fields. Advances in medical technologies have given access to better data for identifying symptoms of various diseases in early stages. Alzheimer's disease is chronic condition that leads to degeneration of brain cells leading at memory enervation. Patients with cognitive mental problems such as confusion and forgetfulness, also other symptoms including behavioral and psychological problems are further suggested having CT, MRI, PET, EEG, and other neuroimaging techniques. The aim of this paper is making use of machine learning algorithms to process this data obtained by neuroimaging technologies for detection of Alzheimer's in its primitive stage.","In order to detect Alzheimer’s Subjects and analyze images
Alzheimer Disease related regions of brain, we use MRI
images and process them to get numeric data which in turn is
processed using machine learning algorithms. Neural
Network and Random Forest have much better performs in
accuracy, then other used methods. The implementation of
this method will give instant and accurate results. Support
Vector Machine and Gradient boosting are also powerful
algorithms for classification problems and it works well with
the problem at hand. At a premature stage Alzheimer disease
can be detected and necessary treatment done at these early
states it will minimize the possibility of creating further
complications of Alzheimer disease patients."
A comparative analysis of machine learning algorithms to predict alzheimer's disease,"Alzheimer’s disease has been one of the major concerns recently. Around 45 million people are suffering from this disease. Alzheimer’s is a degenerative brain disease with an unspecified cause and pathogenesis which primarily affects older people. The main cause of Alzheimer’s disease is Dementia, which progressively damages the brain cells. People lost their thinking ability, reading ability, and many more from this disease. A machine learning system can reduce this problem by predicting the disease. The main aim is to recognize Dementia among various patients. This paper represents the result and analysis regarding detecting Dementia from various machine learning models. The Open Access Series of Imaging Studies (OASIS) dataset has been used for the development of the system. The dataset is small, but it has some significant values. The dataset has been analyzed and applied in several machine learning models. Support vector machine, logistic regression, decision tree, and random forest have been used for prediction. First, the system has been run without fine-tuning and then with fine-tuning. Comparing the results, it is found that the support vector machine provides the best results among the models. It has the best accuracy in detecting Dementia among numerous patients. The system is simple and can easily help people by detecting Dementia among them.","The main aim of the system is to predict Alzheimer’s disease. For predicting Alzheimer’s disease or Dementia in adult patients, the “MRI and Alzheimer’s” dataset has been used, which has been provided by the Open Access Series of Imaging Studies (OASIS) project. The dataset has been visualized and filled in the missing values. Data has been preprocessed by removing some unnecessary features. The values were standardized to make sure that they easily fit in the ML models. Then the dataset has been used to train SVM, logistic regression, decision tree, and random forest models. For evaluation metrics, accuracy, recall, AUC, and confusion matrix have been used. To improve the system result, the grid search method has been used to fine-tune all developed models. For this particular dataset, the system got the best result using SVM. A more complex model like the random forest classifier suffered from an overfitting issue. For deployment, the SVM model has been used for the best results among all the models. In the future, the system models could be improved by using a larger dataset and more ML models such as AdaBoost, KNN, Majority Voting, and Bagging. This will increase reliability and enhance the performance of the system. The ML system can help the general public get an idea about the possibility of Dementia in adult patients by simply inputting MRI data. Hopefully, it will help patients to get early treatment for Dementia and improve their life."
